Code,Momentum_pct,Volatility_pct,Sharpe,PER,PBR,ROE,Weight
18930,166.0,31.02,5.35,24.13,2.49,18.16,0.05
15150,242.67,45.76,5.3,21.92,1.42,7.01,0.05
18710,183.92,35.11,5.24,14.21,2.0,15.51,0.05
18010,148.31,34.61,4.28,19.85,3.07,0.0,0.05
17200,94.04,22.15,4.25,13.92,1.44,11.71,0.05
18850,168.2,41.09,4.09,14.66,2.09,16.4,0.05
18120,130.96,32.14,4.07,16.85,2.11,0.0,0.05
18140,142.81,35.17,4.06,11.82,1.43,16.19,0.05
18150,110.14,27.39,4.02,15.72,0.84,4.0,0.05
18030,133.01,33.6,3.96,19.08,2.12,11.96,0.05
17190,71.18,21.15,3.36,11.64,1.64,0.0,0.05
18080,62.72,21.19,2.96,18.93,1.37,10.51,0.05
18330,70.05,24.99,2.8,17.08,1.15,2.93,0.05
18610,73.57,26.52,2.77,18.72,1.38,11.47,0.05
14170,65.03,25.19,2.58,16.59,1.26,8.82,0.05
17210,54.01,21.91,2.46,19.73,1.62,8.92,0.05
18020,73.01,30.34,2.41,15.53,2.14,15.32,0.05
18520,66.62,28.31,2.35,13.08,1.61,13.02,0.05
18700,56.91,29.32,1.94,8.51,1.21,15.32,0.05
18350,45.68,23.7,1.93,14.49,1.47,10.74,0.05
